positionId,positionName,companyFullName,companyShortName,companySize,financeStage,industryField,companyLabelList,firstType,positionLables,industryLables,createTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage
7777948,金杜理脉-实习法律数据分析师,北京公富信息技术有限公司,理脉,15-50人,未融资,"移动互联网,数据服务","['带薪年假', '岗位晋升', '管理规范', '五险一金']",产品|需求|项目类,['大数据'],['大数据'],2021/4/27 17:02,北京,朝阳区,"['呼家楼', '京广桥', '朝外']",10k-15k,0,在校/应届,实习,本科,法律科技
8683878,数据分析师,北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,电商平台,"['五险一金', '带薪年假', '免费班车', '定期体检']",产品|需求|项目类,['数据分析'],[],2021/4/26 19:33,北京,通州区,,25k-40k,14,3-5年,全职,本科,TOP500强企业
8412138,数据分析师（电商&amp;直播方向）,小船出海教育科技（北京）有限公司,作业帮,2000人以上,D轮及以上,在线教育,"['免费三餐', '技术氛围浓厚', '定期体检', '新鲜水果']",市场|商务类,"['在线教育', '电商平台', '市场分析', '数据分析', '电商策略', '直播带货']","['在线教育', '电商平台', '市场分析', '数据分析', '电商策略', '直播带货']",2021/4/27 11:20,北京,海淀区,,15k-30k,14,3-5年,全职,本科,项目发展快，福利好平台大
8367543,资深数据分析师（信息流投放）,小船出海教育科技（北京）有限公司,作业帮,2000人以上,D轮及以上,在线教育,"['免费三餐', '技术氛围浓厚', '定期体检', '新鲜水果']",市场|商务类,"['在线教育', '推广', '广告投放', '信息流投放']","['在线教育', '推广', '广告投放', '信息流投放']",2021/4/27 11:20,北京,海淀区,,25k-50k,14,5-10年,全职,本科,项目发展快，福利好平台大
7497733,风控数据分析师,北京一零跃动网络信息技术有限公司,一零跃动,500-2000人,不需要融资,"数据服务｜咨询,IT技术服务｜咨询","['年底双薪', '午餐补助', '定期体检', '弹性工作']",金融类,"['金融', '策略设计', '风控']","['金融', '策略设计', '风控']",2021/4/27 11:19,北京,朝阳区,,15k-25k,14,不限,全职,本科,打不卡 技术大牛 成长快
8660289,数据分析师,北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,电商平台,"['五险一金', '带薪年假', '免费班车', '定期体检']",产品|需求|项目类,['数据分析'],[],2021/4/26 19:33,北京,通州区,,20k-40k,0,3-5年,全职,本科,公司大、待遇好、氛围好、有成就感
7231739,商业营销-商业数据分析师（派遣）,北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,工具类产品,"['岗位晋升', '扁平管理', '管理规范', '精英团队']",运营|编辑|客服类,['数据分析'],[],2021/4/27 10:57,北京,海淀区,"['五道口', '清华大学', '中关村']",6k-8k,0,1年以下,全职,本科,团队氛围好
7965850,营销事业部-数据分析师,北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,工具类产品,"['岗位晋升', '扁平管理', '管理规范', '精英团队']",市场|商务类,"['数据分析', '市场分析', '渠道', '代理商']",[],2021/4/27 10:57,北京,海淀区,"['五道口', '清华大学', '中关村']",15k-30k,15,3-5年,全职,本科,团队专业度和氛围好，有发展空间
7774013,高级数据分析师(J17466),瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,居住服务,"['年底双薪', '绩效奖金', '带薪年假', '五险一金']",产品|需求|项目类,"['数据分析', 'SQL']",[],2021/4/27 12:00,北京,朝阳区,,20k-35k,15,3-5年,全职,本科,****，一个神奇的网站
8266875,高级数据分析师-房产平台,瑞庭网络技术（上海）有限公司,安居客,500-2000人,上市公司,居住服务,"['年底双薪', '绩效奖金', '带薪年假', '五险一金']",开发|测试|运维类,"['居住服务', '数据服务｜咨询', 'SQLServer']","['居住服务', '数据服务｜咨询', 'SQLServer']",2021/4/27 12:33,北京,朝阳区,,20k-35k,15,3-5年,全职,本科,平台稳定+成长晋升+技术驱动+股票激励
